pk,pma,intent_localised,intent_localised_id
15710451ed9add3ff857cf53ca97ba93,person,teacher,8d788385431273d11e8b43bb78f3aa41
a8f2c25506385ed129faf039dc5b3acf,person,speaker,f0dc81a8a980333e911f475b62f6f238
296e18bd97216083e8302b40c1123f65,method,class,a2f2ed4f8ebc2cbb4c21a29dc40ab61d
f47d46fd3450ea2fd7d578d2d99d9123,method,chat,aa8af3ebe14831a7cd1b6d1383a03755
9979579a941ab9c87eb3678e2796537f,method,school,7516c3b35580b3490248629cff5e498c
47877dafee8f9da9215bcb7af833d6e7,method,CAEL,5a753229efb8128b16b50c38708c6638
d628e8403fd84a6049a9db1d79a1b0af,method,PTE,8527c24d06d660c39c108577cd891cd9
2eed7cdd94c9adfe3401f3c8234ca91c,action,study,2cd1c6ecec2c6d908b3ed66d4ea7b902
4771c7ed71e75cc53db76c5f6fff5bce,method,course,046d47672cf6212d201d6e8b0c191e73
fa2603c0ddd1fa33e5d3d5092958a00a,method,OET,34c3c72c9244d4a381975e146a319c44
980424e98612fa8683728d68d7a06969,method,BJT,4f5d3489a65f3d91403dd5d9e5329bee
9e20f562fe3d392ebefee828446b9089,method,JLPT,e6fa5be517968617c85b491c90d72cde
ec5bcbff812d866c6d935a4fbfb8596c,method,صف,b85477812d3565b0d55e85d9513692f2
1c29b229d5c8583b7297e3d4be1d49c1,method,دردشة,b7e100370972921405a5381f5a00fe3f
ab3850f39fe151ec7b1618735ccd5ca0,action,تحدث,9fee697d3c1684c9c253ed4d526860d7
77d73a5801d1d7179059ea1a449db210,action,تدرّب,d6e4c7a7b34a07c73a779bb15c341083
3854b45c5cd51776439b004e14901c54,method,دورة,637d5dd1f16a4cc1d923588cb55ede49
063599e4bffc50d2c62697b05171515c,method,TORFL,0fc5f7359321646f36a359f92d7a3c0f
280e5a085d42c8ac746a82dd02d953b8,person,nativo,a428c320148024680316bff752abd228
f525f52b7b3495910a0733da233c497f,person,Tutor*in,d54f752090714b0f73f8a5fca7d5bb0c
5d5947860c70afbf859be11677955225,method,Stunde,366705e2c00ca7775fa25bebf559acc1
77299ccde76cf29e7bb52d281aac5a97,person,δάσκαλος,cddc81f36fac942e41e287e7e68915af
bd2e10e73184e31738461731cd45cd65,action,εξασκώ,a683ea415e2149a97d0db0db9d76fec9
6b324301dc16282756298b31c479012a,person,夥伴,1289383a696f59012d1d6752394f9215
c3173605dc1ecf355debfb37875d4c25,method,ACT,90d991b47098ceef3d8283a386cf7e91
e494e5943a8fee1bb2175fee7f18c8ae,method,BEC,513bcfa2b82dc1735a07b97b7f870106
819039507442990011d6782cfea995b7,method,TOEFL,ce382dc732a94f0fea953833111a42cf
7c249ca1d8514cd053598ecb95f1bd06,method,SIELE,f36d9d9d23b9ac62a0b3f82309536760
6a2206270e43478925f23013d55829ea,generic,Generic,8045a0a6c688b0635e3caccc408a1446
51ea7cd17230ba97948e6f3bf78e375c,competitor,SelfStudy,4a860b1ed2ad18d4a09a0ed2cce56210
42e0f3ef1d68f71e508169ce764b26b3,action,conversation,b24e9760291913eedc16833c977f976f
938c27b5222dcf1d3b630d1cd9e87675,brand,Preply,c815f09da90fdcb986a0e7bf4e732fb4
28b5972db322afec7b4eb2e5f8843576,person,مدرّس,3f2765db6765cddeb1642ff9b9bfe6c4
4163a699c98fc553a965317ea912275c,method,درس,5169cbb2a14817982cf6299cfec24d41
e2721f3483fc36f0d5e7ba98437be733,method,CIPLE,ad6acac903e1b8b517a7f3be3080b665
9ad9e488e6b567be3b347fb6c7300908,action,talk,64b59718a47cf57a5e4f8443ff43d117
1983f35068818c9110ed77fce02ac45d,person,professor,3f9cd3c7b11eb1bae99dddb3d05da3c5
a7ba54ffc8eefe468781606875bfb3fd,method,exame,c77f6ffecb9c2177fe3c6ee85eab22f5
1878f7474ec9f773241cb537025224d2,action,conversação,2814ca1dc6aa376dd41f927bb2f93972
7ac400418630029af95af389cc25c499,method,cours,456c7996e5729627fddf96470e5e0948
385d3be535179ceb9e698691e7ce7896,method,Schule,f587e02939ff7f0474ad57eeb0e39e8c
84fb3533c8c8bcc675bb7f4227f4c9ec,action,konversation,eaceaaa75a82f5a5f05da4cf2d167f1d
710da5527b7cd7b1162511f9e8c1cac3,action,sich unterhalten,2156c684bd0b94174a8e8d157c8c74f9
eddafb78c7b11f17505f0549a26c7b0e,action,améliorer,1581a6d3fbc70c6a84465d49683c0fd4
37383c0dc6378ec079cfcbbfbb574e54,person,Profesores,043729807503bc970737f41e732e206b
dae801982da4ee038a48782f49d26151,action,poprawiać,a331bb0803eddd2b3b02c751db163a4f
9bb44f49a12b5770264f9bfba2f9b844,method,εκπαίδευση,b03258bd4480a093f2fba89573fdf974
f851f1669737dcfca14a8506f1d1d554,method,Cael,bc1c4c137e1cbbf75bc98ba4b45d440c
8d24a54008170f180266bac9bb11473e,method,Nationaal,d8ea5b5376c67e8cc4be98924bcca31d
ccbac52554b0a12e266651d0d90a7cfa,person,Muttersprachler*in,4146127520e388fc726cda626620d7aa
c6e1f422b256254d15606afd74b0319f,method,lezioni,f620d2b9aea5d2bd89983173a983d65c
97f471ab2f3dbf2b4aabbc8f5ba95842,method,esame,eb7552e2a95c2734882c4a63ce6bf43f
ce2960b3bdaa57034f47d7b77f4b6a40,person,Maestros,099b58384e69e1aa6a564aa8a1964847
811cf94a7686bf9362e2a97e31ec2e1a,action,Estudiar,7cc592de05a2046e25ba79b04b53387c
ed3f58914110a720feb494826c3a381e,action,Mejorar,4ae3ac35a3ff4a5920b63c0e120cd679
0a4219824ff96c1723f330764fda9874,competitor,Άμεσα,74bb897855369e20c9c0c840d47556f1
e4a639727d737b035c5f0b4f6dcfb1f9,action,對話,4768807ceb307c62cf7892fb7e7fc796
a4f282fe968683c9bb0c56beb04fafca,brand,הכשרה,479e8dd2cba424386ae41cdf387ee591
b9964f8e278ceb08bebaab3f7e7c847c,method,コース,107b5397e3000d3997aebaac42377a35
638e75285584368cd99337cccd77eda7,method,Icas,9407ee4ad80a428ad5a7efded6ddbde9
ef0194c77205d4ea5da78efeca51ebed,method,Oet,8d37c7829bdc15d7f91fd5c0f6047364
a378e90962b751b25370c1ac5b279219,method,Tocfl,a66ae8936ab75644ea6b0ecd46b65563
a946b6b40a371916221e4db414028c93,method,NT2,340cd1dcf5d3871fa2584362194cc4fe
936e1877b48f256ea0b102012a6acb5c,competitor,Direct,fd1dd0c603be8170f9eae0be9f2f6afb
6051e34552439c49ad1bbdc6be8e00b9,method,TFI,5906c748ae2170f0259fa3f4abeb149b
783a927df1d2244fc6544611872bd9c6,method,امتحان,2a1e0ca4d0aedc6d488d84ce27809256
3bbc7e62df1ebdfc74853855b228ba43,action,تعّلم,bbfa42923c997b26da660367cfc9c77d
3fc9bdf12d0bed865d65c92e6ee3ee3d,method,classe,1af080153383444d8f5b3602d7bb11fd
c975f4c4d4a01d1ab2e1c2f5395abee8,method,lektion,24a0be34286ed042f7adabd5bede104a
c96fe9fc2b83c85f2afe5bd0d1d59f78,person,أصلي,34a99c3359b319f5a5f27644645122fd
182bd2eada864170f36f439f533a5de3,action,falar,dc50c3c1972bfd9a6e53080f9de5288a
e773be9c1262f9c356e112665b1414e3,method,Kurs,2589218df2ad6f6039a95d9d4dd979a3
c7da9dfa85572ac573a4b373ed73a714,method,Chat,55dcdf017b51fc96f7b5f9d63013b95d
0805a34e74d66fed945eac01f0526bb2,action,üben,4ec56ea748561d98fbbc8254c2ad29d6
6f344288e56a7fc450738f7b96630bc8,person,Lehrer*in,d8e1f35a6142904888a9b3f286f903f2
d95afbfb74ceb128975d21d737a54172,action,parlare,c8536d95c98f5fcd0f0f5aac0b8fcc29
33a0aa43ff91b8fdbeb52096b462314b,method,Curso,efecb371dd2208f6476d817c1ed74614
9a3bcba43168c9526f15748a549acb2f,method,time,07cc694b9b3fc636710fa08b6922c42b
4c8eddf45bfcd4640fd8dc5e6cc58216,action,forbedre,78175cd46466973a182cca415ee4a85a
8e3a0efd08d72aac6cabe1c3e5018d51,action,oppia,ae1bac52777393fb7f0e504372b4ccb6
8afbaf87b17245ce214a36f83e7c46ef,action,parantaa,971ceb50d497dcdb9e90bbc7732e098c
13e2e2dbefc72bbc4e09f0a989240a81,method,træning,1b849a8e63f525e1bfdbdf06522bd7ee
b8da5aeb1b4263ab7b47ee0396ffbeb7,person,puhuja,13fe41e00b88baa73a1482e1482c8854
2672de1b5fe2fd0e18221165c8ce0c88,person,użytkownik języka,fb08d478b052b3e88c5fa5a639d83071
c2f8aa8430a3ff397229b06ec035631e,person,συνεργάτης,9056e6c477f7bae11860fa3ca41be687
6ecdd6f3f48c79c080bfd156f0b72e0d,method,σχολείο,8673a7f8f6ca45b6b53235086e981611
a80c64b6734223783449c8823a9d99db,person,老師,18c5718531ce746c9c5baa11b270c5ed
8bcb8415a731d0649223f3260da56501,person,מורה פרטי,4c9e083cf25dcd318ec8b812ac61a4fd
5e7a0f3afd3841ab80889a785a4441a7,method,צ'אט,33529559013862332ff903e30d84f37a
97282a9c9b4ac1ee89e37a63ca524c4c,competitor,自習,85227dc154fa28743bf1038e27c5f899
f38920815fbcd6ac6a712307c7f33a76,method,학교,09b9db30e2d13cdd45c57cf9ebf7d951
0ed5bb846c6b7a73eda4bc81df1a13ea,action,말하기,de317c826e773115556504f010021f9b
1d6cbce658b0e53bf3d0b78f6f3c94e2,method,Nt2,66f456431a09f3e9562b4fc74f5533e4
5473a0d86992eac5c86aec9639f2912a,method,чат,4dded20d557a81180789fae71995e292
028bdb9cc8c8f3c1c24e3b50f14297c2,method,Курс,d2b74163ed3fed2db7d7e41d84aca1f0
44dfd8db292628499f381662b1753413,method,National,65ccf0f205fb154d14c470767026d75e
5d6cda4901bed0ffe545b5453a01d603,method,curso,1042013feadea5404c396dc5b7eb62ed
66fa9500a20ae909549d0e3c4b726a19,person,locuteur,41381934a61431d2080b15e8cd17aece
9c77f7df02f387a0b6e551ea8d2b84dd,method,formation,f1a41f239896dc63a6eaeba863f0e7ce
3c401b0905d961001041b52b039bbad3,person,partenaire,5bd40a8524882d75f3083903f2c912fc
de60a3dac404c990c710536be2092700,action,migliorare,074fd8ea7f006bfa86bdfd0fdf821b46
7a4f4697c7591c589cf625d0f55698c9,action,conversare,3a4eaaba1baaea2bac4dc39a0394e3e7
aca61241febcabbc0d64bb1f7116ff00,competitor,autoapprendimento,4d50c106b31b5db3532ff6af2b4f7e11
,action,,
6801cf44edcf04be85471c89f2d97c94,person,tuutori,7ee2dffe38f166c311c5a28f744f0ec5
551dce575e5541d75cb6aa9d073f110d,method,kurssi,50a44048b81dc7b6ff1940fa07995dae
3bfa52d708fdcf254ab23f871a9cfda1,method,koulu,ebf0f7b8718833f9cfafd318b8c63fdf
b030292c6ece8d2e13ed7e573381a2e7,method,Clases,4b89efe556f6780ff72cad044b2cbedb
5668bdd0d1e89754b71dda4658228fef,person,lærer,dc2c0db936fde804ce2c00ad3852d5be
eaa540860966a1b171e2e21008566938,action,snakke,f270bfebafdf8ad793e969de2cde5176
8e566164e3eab0b3b92aa1657341a88e,person,nauczyciel,53f1fce859c22ffdeff1adfcc31f670f
ce90ff6c37fa82570a093d4d05f248c2,method,zajęcia,33e0b9bedaf419a8279d60192abede27
a6621232f176758b3e0be1ffb39a40c9,method,kurs,1f53cd4a51064068c05cfc6c2d494312
3a7f39e57802827a21309a3ca582ef03,method,egzamin,83ec2295a5107ea252f8f45455f33eb9
3dfdbdbdd0e782a9f312117fff6c3ab4,method,narodowy,d5e786dc6a2b8a4f2256a898056c6c10
418fdf5273ff46e4f78927449d71c67a,method,εξετάσεις,81f5ba25804fa189028caaea12e93746
e46d5c9f8b9fed15fac89dfcd073276c,person,家教,b42e2f62c61bb59ad95364c7cfa06bd3
6fd29c8b32a7861e1ba0a007207750fa,method,IETLS,5a598a2dab145829f7977ef67ff7296c
e4c60b6efb8e30bfa5ce3caee3b4195f,action,說,7521d43c4bf036d84cfa0a499877d142
23c178f0e403969e3821ad3564747ad6,action,研究,2d46537e724fa604c205eea6cfc26083
3e34e71d5378342ea74994ee91e1ca4b,action,meningkatkan,08c16105c219345a307c1069cbfe5aea
d4ecd2b16a9cd3e399ec7efa2109630b,person,מורה,b849e1b8f3d8253aab5e827fcd3d07f2
fd1d0261ff6a25fcb71e7f16af0acb9e,person,שותף,0585c5cb34ee6107a08c43a65a4a78f7
94a460a6f64a37c884394e140322d1c4,method,כיתה,d4e7c7e0e32d1436ca8b4076ce89b1f3
c37aabdf5c51bc59c0cf58656d6c1732,method,מבחן,d589a0c3c1a25f59d7f6ef7aa09f4c6a
0b8aaac20fd0c69b7a6ec2a2487019e0,action,לתרגל,e86dd5feabd1036a19aa8c1d534f2e90
9a3b3afc81f1ae11cccb88ff627ac7d0,action,לשוחח,e88be776d2e97038af34803d8cac8390
8f34fd96488dfd2f1e4ac7761f812539,action,학습하기,a3d4976e2a581d7719beb4d30648f589
bd0704beb131a6d56c585b4004892c3b,method,트레이닝,01fcf0a2f7ac3c7532aca3d13adfe4b4
2392f6ca6545a15c5e6847013f977754,method,Pte,e99ffe6e2323407e2605ed3a8b98d271
296796df731d2c9f16ab73443f5746b6,method,Topik,30c7eaf2c005b864694176f904536e98
c3b655280675960304f95893fb931123,method,Celpe,f558a3df8e6fd7305c90ded1b1ead135
1ac04751fb2493b455fc2c9f7c0cd7fd,method,Ciple,f5179c1df702751128b1dbaeb3cead9f
d71d400958ebd5e2ca7fbb0c04059ce0,person,Носитель языка,59f1f139de78872b53d376415a6ba4c8
290ba7d7383ece05b8a1e7990921e4e6,method,DIPLE,d187e257009dd94dbcb96c6da6f1812d
2f6b53482fe932778b3be9d62811926d,method,Exam,b66068cf75e5acb6cf1af2ad1d0642ed
fe5db8611c109a0a514e36e771b616c5,action,praticar,8235506bbe27785e3ad1428ca5b8faaa
9bed2f50999c5c5ff820c83ca3467db1,action,erlernen,f49cfbc6953665dc0c3a9e0bfb7524e1
5c22ea9c5022cafa8622121a5de7665f,action,Hablar,4c972a1520cf835dde6af0a9b4d7b2d7
db858d97004765098d008e4bed74005f,person,penutur,8b48c015dd5689d52246f088605f8e60
3787563b925f7e73439a7a4f057fd266,method,トレーニング,e0c4451120f2a1aa135ca841814eb7b6
0e66318b228725e98ae6fb13ac766c0b,competitor,autoestudo,25c8915bdd3409c527833166bcd2be43
20ce3c147d29f27078d42584f2f2b815,action,apprendre,63035f17bdaca2eee8fe96a88434912e
8470567f251e9890540386aa9df0ccf9,person,Sprecher*in,c3aba59af34521268493418995fd109e
195acc0c63fe291ff39a41764a3e3348,action,practicare,e80e8de35a0838370afcbef45a11df8d
f27c60b3e8122279919c09cb6533fece,action,conversazione,b75e7449fbfd4b228f20ffa0d849d80a
0cc7a74c14a6f604e5e0868d1042a2c4,person,Tutores,18f8b22a6acc5d43e86d4dddfc624ab0
02f0df7ab492454703ddce1af22eba1b,method,Eksamen,aa99a57e1c999cad9d96d3ed35775458
7776850e66a60164a5852f6363b3f08d,action,tale,4d3debafdd402130036512d2af7f3661
a3f874f4962c98f6abf41c1b22965433,method,oppitunti,6912d6cc519051cda0b942a9a8e10492
49653a3359ae5165a6d8345d76ffc28b,action,keskustelu,abf77f60bc34df6668e874061423f361
b5b4a3ff256e3f2e87bb0d3f64b65d10,method,koulutus,179ebb602a409ce8fed8dd946514ba09
e62e6c956743f7d46703471a699e8f22,person,rodzimy,347097c4b4cfada078f73b91bd07493f
0de8fed54ab3e220828c6d0b6b1e0597,person,ομιλητής,8c60c445ed96503a961a22ed8ee22ad7
dfcde4232db55badace1155e1384d6bf,method,Εθνικές,dc67559a125f98745612825dee4f7370
194d890447248022c8e6a399b2a3e6a1,action,βελτιώνω,a36ed6ebe7a6e14cfec5002cadb8e238
06a6b1302c9a4f8abc7a667ffae91dec,action,συζήτηση,7df6daf6bb367567be2ae491ce2dc254
629cef42d4bbb04098b214b3ce33d0db,method,聊天,c0abbfb414cfe15f8644a61570345de2
70afe472dc577f6715b3cf1455f2b70b,method,pelajaran,66e6ec87ac2424e3a48c6e01f26df9b9
1360001e6352f67345c2082db4602ee9,method,sekolah,fef4cda9b13cc54433ef48d9277128d5
cd77e33de2c7a731d36d1759de1888f6,action,berlatih,28aaeeb788badc1d0943a79b86b13daf
c8bdb6d71b86b40dccaf1fe04555e569,competitor,belajar mandiri,8bab9e0cbb7bc6d9a4de1184d49ecbd6
ad8335279e7c97faa57e891c912796ee,method,pelatihan,9383b6a71f6ad7974f0bd7ea6583c72e
4a6c580ac08c7d727caad5b0de6e8b5e,person,דובר,866e7ffd838336da670bc123f0c6f342
e3cb0c1d7c60516c860bd3e23ca41fe1,person,講師,389abc23303579a3c6209ec3148aa384
5c3597f074fcc44a4eefe3c844a3a35e,method,수업,7749439ac59d29eac366472b54da3c39
c3216a9852243cb27ab2e118c238f8fc,competitor,자율학습,866665f55113b6e67a3a4dcf7e9676a3
695829720fe5f3cb4d4ab05637161c70,method,Tfi,12f989f6c3d61136911e82aa2c855c72
1e93e1a7ce0ab98804dd8ef3f213956c,method,Celi,d07ce1a726f40a1fccb3757ae5404e7f
eb601cc612bbf5416ff9c0eb56c618d4,competitor,zelfstudie,6399dc01bbabdb27374237f4f473f49f
97afc9bacacb1541ed3046a122d152d3,method,opleiding,bf90268a53d2a272893136fc6d0158f5
51fc1c5b81f98e781e6ec46a4eb52e10,method,leksjon,a2a2c0334dd3348e4fea3e4bca6067b0
d37a15553062ab41fe52c1e1cfe5d90b,method,nasjonal,16946d2b1c6506785d48c90785b26393
7b2cd292f56fd71f0903be7fd0b8c00e,method,Lecciones,3c5644400c2d9fe2bfeab2e5f46fa64a
de1311eb96c810e47be00f333f4592ad,competitor,selvstudie,dec21b7b0ec8dec7df690d6b9c4ea08f
7cd6d378c9817417218e853aafaaeb98,person,innfødt,a9e9804b78f635be31de515d69637f46
ffbb51e6133ac0bb3266dbb5ec1f865d,generic,Γενικά,cf4bb0943202294be94896799389ffe6
dba20dacf89bad2b7df8d46d21dcb7f2,action,Изучать,967021fe4e02a07fbdfd57103048fd48
53953a468abb57ec380aaabd3f161327,person,вчитель,3e5b44700b27fa6067e040933ace0839
77d81d03ca4ce8b473eca46b5d4c80db,person,мовець,5c0dbbc4048d6c9b9de09320aa2a809c
cbd214bed8f5f06991448e3af3658667,person,партнер,ac2a27ec4f363e236b0d4d9f63c7b6b1
c402267d6e83b569f4df09fb1dd7db71,method,курс,cf3213902b44d1ea47fbfb3f503a56dc
dc127ccf13601eec4d68771b647cb1d3,method,екзамен,72707288908de77d6320800b1d1459f6
2623cd6fcaeac38287e2e3cfc97b289d,action,вчити,f42672dc30f731bd08bf1c699d7087ec
a05ffeb1ca8e4448b1f6535383c8a1b3,action,покращувати,aac60687033b3d1deb841cb52d3c7168
07ab7c315b45a21defb80fd4704ff67d,method,навчання,c428f0c0375a66be5c337144495f7f20
cea35a87ef7b4ca39be50b568064b91d,method,szkolenie,c4edee29646b56254fd67bdc6fea8766
2e370732f3fd49ccb63f2e03151c3e2d,person,spreker,c34c022ed97af6502fd9c1b2f32ce9cd
